tiempo,ps0_raw,ps0_simple,ps0_kal,ps7_raw,ps7_simple,ps7_kal,ps2_raw,ps2_simple,ps2_kal,ps5_raw,ps5_simple,ps5_kal,enc_left,enc_right
7.2,68.7265,66.375,66.2372,67.1064,68.2612,72.0268,73.3469,69.8532,69.0331,149.7925,160.8146,147.7714,477.34908,342.96964
7.25,62.8456,66.8716,65.6661,62.5812,67.5596,70.4467,68.4743,69.8925,68.9399,113.8023,163.066,142.1099,477.751,343.25224
7.3,68.5613,66.8372,66.1428,64.541,66.647,69.4566,58.56,67.469,67.2099,103.0129,158.4583,135.5937,478.15292,343.52856
7.35,73.1146,67.788,67.2989,79.6276,69.0773,71.1459,67.1553,67.6385,67.2008,64.5949,134.4757,123.7606,478.55484,343.81116
7.4,65.2613,67.7019,66.9535,77.9616,70.3636,72.276,65.9103,66.6893,66.9857,63.2267,98.8858,113.6716,478.95676,344.09376
7.45,71.2467,68.2059,67.6632,73.2406,71.5904,72.431,68.1383,65.6476,67.1778,72.6387,83.4551,106.8328,479.3524,344.37636
7.5,64.8101,68.5988,67.1819,68.1995,72.7141,71.72,70.9779,66.1483,67.8112,64.4932,73.5933,99.7762,479.75432,344.65268
7.55,68.0939,68.5053,67.3281,67.5452,73.3149,71.0183,69.9057,68.4175,68.1603,61.2159,65.2339,93.3495,480.15624,344.93528
7.6,69.0392,67.6902,67.6074,74.2581,72.241,71.5524,64.4381,67.874,67.5399,63.0523,64.9254,88.3,480.55816,345.21788
7.65,68.3268,68.3033,67.7216,78.2441,72.2975,72.662,67.5155,68.1951,67.5358,66.7802,65.6361,84.7133,480.9538,345.4942
7.7,67.7717,67.6083,67.7241,67.1572,71.0808,71.7386,64.1914,67.4057,66.9784,69.209,64.9501,82.1293,481.35572,345.7768
7.75,65.762,67.7987,67.3912,66.1632,70.6735,70.8036,64.1285,66.0358,66.5034,67.6231,65.5761,79.7116,481.75764,346.0594
7.8,65.4825,67.2764,67.0662,64.7425,70.113,69.7865,67.1289,65.4805,66.6077,64.4248,66.2179,77.1638,482.15956,346.46132
7.85,66.0865,66.6859,66.8961,70.7908,69.4195,69.9471,70.9211,66.7771,67.3266,1066.1179,266.831,241.9895,482.56148,346.85696
7.9,70.5987,67.1403,67.5074,69.1495,67.6006,69.8084,71.6933,67.6126,68.0544,1118.4986,477.1747,388.0743,482.95712,347.13956
7.95,67.1023,67.0064,67.4341,65.6014,67.2895,69.1013,72.1525,69.2049,68.7374,1117.8816,686.9092,509.7089,483.35904,347.42216
8.0,64.2302,66.7,66.8942,64.873,67.0314,68.3908,60.9448,68.5681,67.4386,1159.3396,905.2525,617.9807,483.76096,347.70476
8.05,64.0167,66.4069,66.4089,71.1184,68.3066,68.8396,63.3018,67.8027,66.7492,1143.6354,1121.0946,705.5898,484.16288,347.98108
8.1,59.8327,65.1561,65.307,65.6735,67.2832,68.3061,65.2156,66.6616,66.4936,1026.4283,1113.1567,759.0629,484.55852,348.26368
8.15,66.4726,64.3309,65.4955,69.1372,67.2807,68.4388,67.2507,65.7731,66.6198,912.4815,1071.9533,784.6326,484.96044,348.54628
8.2,65.7755,64.0655,65.5363,66.5031,67.461,68.1103,67.6257,64.8677,66.7874,823.3982,1013.0566,791.0936,485.36236,348.82888
8.25,68.8133,64.9822,66.0767,71.9259,68.8716,68.7405,70.0958,66.6979,67.3388,592.4162,899.6719,757.9807,485.76428,349.1052
8.3,69.2907,66.037,66.6065,70.5276,68.7535,69.0325,67.8264,67.6028,67.4201,459.2863,762.8021,708.1983,486.1662,349.3878
8.35,61.7879,66.428,65.7976,70.3037,69.6795,69.2385,74.5253,69.4648,68.6043,370.1543,631.5473,651.8576,486.56184,349.6704
8.4,67.9352,66.7205,66.1481,60.2139,67.8948,67.7286,63.8749,68.7896,67.8161,316.5829,512.3676,595.9785,486.96376,349.94672
8.45,67.6291,67.0913,66.3891,69.7483,68.5439,68.0594,67.2725,68.719,67.7255,270.3351,401.755,541.7046,487.36568,350.22932
8.5,62.8788,65.9044,65.7982,68.4799,67.8546,68.1236,63.7624,67.4523,67.0649,212.7259,325.8169,486.8748,487.7676,350.51192
8.55,72.4325,66.5327,66.8981,70.983,67.9457,68.5944,69.209,67.7288,67.4223,166.9033,267.3403,433.5462,488.16324,350.79452
8.6,87.1094,71.597,70.2609,64.8073,66.8464,67.9574,62.7403,65.3718,66.6419,141.7955,221.6685,384.9211,488.56516,351.07084
8.65,102.7869,78.5673,75.676,66.8299,68.1697,67.7636,70.18,66.6328,67.2316,124.861,183.3241,341.5778,488.96708,351.35344
8.7,127.2704,90.4956,84.2692,70.689,68.3578,68.2454,66.675,66.5133,67.1388,112.2637,151.7099,303.3587,489.369,351.63604
8.75,204.7838,118.8766,104.355,69.8488,68.6316,68.5126,67.2289,67.2066,67.1539,85.247,126.2141,267.0068,489.56996,351.43508
8.8,307.5611,165.9023,138.2227,66.8537,67.8057,68.2361,65.8326,66.5314,66.9337,67.2293,106.2793,233.7105,489.77092,351.23412
8.85,205.7456,189.6296,149.4765,68.9395,68.6322,68.3534,62.4223,66.4678,66.1818,69.9599,91.9122,206.4188,489.97188,351.03316
8.9,100.3811,189.1484,141.2939,113.0545,77.8771,75.8035,72.743,66.9804,67.2753,64.6596,79.8719,182.7922,490.17284,350.8322
8.95,66.8885,177.072,128.893,174.8354,98.7064,92.3089,72.0519,68.0558,68.0714,59.6021,69.3396,162.2605,490.3738,350.63124
9.0,68.0065,149.7165,118.7453,264.7668,137.69,121.0518,68.5109,68.3121,68.1446,71.4457,66.5793,147.1247,490.57476,350.43028
9.05,61.0545,100.4152,109.1301,287.2242,181.7641,148.7472,67.2144,68.5885,67.9896,66.1029,66.354,133.6211,490.77572,350.22932
9.1,69.5958,73.1853,102.5411,135.8709,195.1504,146.6012,65.3228,69.1686,67.5451,62.039,64.7699,121.6907,490.97668,350.02836
9.15,69.9181,67.0927,97.1039,68.4556,186.2306,133.5769,64.8697,67.5939,67.0992,67.4689,65.3317,112.6538,491.17764,349.8274
